trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_UTIL_01,06:40:00,06:40:00,S01,1
T_UTIL_01,06:41:00,06:41:00,S02,2
T_UTIL_01,06:42:00,06:42:00,S03,3
T_UTIL_01,06:44:00,06:44:00,S04,4
T_UTIL_01,06:44:00,06:44:00,S05,5
T_UTIL_01,06:46:00,06:46:00,S06,6
T_UTIL_01,06:49:00,06:49:00,S07,7
T_UTIL_01,06:50:00,06:50:00,S08,8
T_UTIL_01,06:51:00,06:51:00,S09,9
T_UTIL_01,06:52:00,06:52:00,S10,10
T_UTIL_01,06:53:00,06:53:00,S11,11
T_UTIL_01,06:55:00,06:55:00,S12,12
T_UTIL_01,06:55:00,06:55:00,S13,13
T_UTIL_01,06:57:00,06:57:00,S14,14
T_UTIL_01,06:58:00,06:58:00,S15,15
T_UTIL_01,06:59:00,06:59:00,S16,16
T_UTIL_01,07:00:00,07:00:00,S17,17
T_UTIL_01,07:01:00,07:01:00,S18,18
T_UTIL_01,07:05:00,07:05:00,S19,19
T_UTIL_01,07:06:00,07:06:00,S20,20
T_UTIL_01,07:08:00,07:08:00,S21,21
T_UTIL_01,07:11:00,07:11:00,S22,22
T_UTIL_01,07:12:00,07:12:00,S23,23
T_UTIL_01,07:12:00,07:12:00,S24,24
T_UTIL_01,07:14:00,07:14:00,S25,25
T_UTIL_01,07:18:00,07:18:00,S26,26
T_UTIL_01,07:20:00,07:20:00,S27,27
T_UTIL_01,07:21:00,07:21:00,S28,28
T_UTIL_01,07:28:00,07:28:00,S29,29
T_UTIL_01,07:30:00,07:30:00,S30,30
T_UTIL_01,07:31:00,07:31:00,S31,31
T_UTIL_01,07:33:00,07:33:00,S32,32
T_UTIL_01,07:34:00,07:34:00,S33,33
T_UTIL_01,07:35:00,07:35:00,S34,34
T_UTIL_01,07:36:00,07:36:00,S35,35
T_UTIL_01,07:37:00,07:37:00,S36,36
T_UTIL_01,07:38:00,07:38:00,S37,37
T_UTIL_01,07:40:00,07:40:00,S38,38
T_UTIL_01,07:41:00,07:41:00,S39,39
T_UTIL_01,07:43:00,07:43:00,S40,40
T_UTIL_01,07:44:00,07:44:00,S41,41
T_UTIL_01,07:47:00,07:47:00,S42,42
T_UTIL_01,07:48:00,07:48:00,S43,43
T_UTIL_01,07:50:00,07:50:00,S44,44
T_UTIL_01,07:51:00,07:51:00,S45,45
T_UTIL_01,07:52:00,07:52:00,S46,46
T_UTIL_01,07:53:00,07:53:00,S47,47
T_UTIL_01,07:53:00,07:53:00,S48,48
T_UTIL_01,07:54:00,07:54:00,S49,49
T_UTIL_01,07:56:00,07:56:00,S50,50
T_UTIL_01,07:57:00,07:57:00,S51,51
T_SAB_01,07:00:00,07:00:00,S01,1
T_SAB_01,07:01:00,07:01:00,S02,2
T_SAB_01,07:02:00,07:02:00,S03,3
T_SAB_01,07:04:00,07:04:00,S04,4
T_SAB_01,07:04:00,07:04:00,S05,5
T_SAB_01,07:06:00,07:06:00,S06,6
T_SAB_01,07:09:00,07:09:00,S07,7
T_SAB_01,07:10:00,07:10:00,S08,8
