stop_id,stop_name,stop_lat,stop_lon
S01,Lg. José Lúcio (Terminal),39.746472963926266,-8.803978831434387
S02,Av. Heróis de Angola,39.74799398983574,-8.80387807685887
S03,Av. Cidade de Maringá / Mercado Municipal,39.74979040444038,-8.806582004471508
S04,Arrabal da Ponte,39.75213196444868,-8.807534697583042
S05,Nova Leiria,39.75245084320429,-8.808635907865161
S06,Almoínha Grande,39.75428847223228,-8.81187615620379
S07,Bairro das Almoínhas,39.75466017977154,-8.820511471249018
S08,Estrada da Estação,39.75555669942769,-8.823517034075238
S09,Rua João de Deus,39.7569100548871,-8.82330065718406
S10,Rua da Pilada,39.7588325233402,-8.821714196389776
S11,Estrada da Figueira da Foz,39.76081061642925,-8.82159983380032
S12,Esc. Afonso Lopes Vieira,39.76305660223604,-8.822578018360579
S13,Travessa da Maligueira,39.76424367369894,-8.824925838820116
S14,Rotunda R. Dom Carlos I,39.76164147038948,-8.824332632878914
S15,Rua Dom Carlos I,39.75906247535405,-8.825462048185274
S16,Leiria (Estação),39.7565917375804,-8.827208867717887
S17,Estrada da Estação (Regresso),39.75527302619123,-8.822892003986656
S18,Bairro das Almoínhas (Regresso),39.75457644493237,-8.820678452046842
S19,Estádio Magalhães Pessoa,39.750755078683845,-8.812474258354802
S20,Piscinas Municipais,39.74969319691178,-8.809176722460267
S21,Av. 25 De Abril,39.74679297496132,-8.8154090186598
S22,Av. Papa Francisco,39.74438933792627,-8.814232024081862
S23,Bairro dos Capuchos,39.74298033669601,-8.811968775587914
S24,Câmara Municipal (ESEL),39.74108822577519,-8.811335349123441
S25,Esc. Francisco Rodrigues Lobo,39.73950408047108,-8.815942999776524
S26,Rua Qta. Do Seminário Centro Comercial,39.73375793875827,-8.823157089104177
S27,Campus 2 IPL,39.73316884360682,-8.820953976506257
S28,Rotunda Alto do Vieiro,39.73521843637866,-8.823224119361035
S29,Escola José Saraiva,39.72707880440263,-8.812253356150014
S30,Rua da Malaposta,39.72996814411709,-8.810110085151587
S31,Prisão Escola,39.732881429646646,-8.80960470430765
S32,Centro De Saúde Gorjão Henriques,39.73688639828463,-8.810776711228344
S33,Bairro dos Sargentos,39.73911868058745,-8.808946225455134
S34,Av. Marquês de Pombal,39.73965435669537,-8.806161935750954
S35,Av. General Humberto Delgado 1,39.73912847928311,-8.804066081911259
S36,Av. General Humberto Delgado 2,39.73694131604107,-8.800843357809807
S37,Guimarota,39.73415427754461,-8.79937236425564
S38,Escola Profissional (ISLA),39.73197481451816,-8.794968454303572
S39,São Romão - Rua Florentino Pedro Lopes,39.73213988576586,-8.791464029922869
S40,São Romão / Rua da Fonte,39.73519792625542,-8.792555465646753
S41,São Romão Rua Esperança CETL,39.73608093557608,-8.793803562566845
S42,Hospital (Visitas),39.74393972410096,-8.793684938572222
S43,Hospital (Consultas Externas),39.74247171317816,-8.794360643852515
S44,Escola Correia Mateus,39.7445269550646,-8.792239109929122
S45,Hospital Santo André,39.743286321788,-8.792508274975068
S46,Rua de Santo André,39.741147078617104,-8.79577873834951
S47,Rua das Olhalvas,39.74115185774075,-8.798469803798701
S48,Bombeiros Municipais,39.7415770953199,-8.799945199518474
S49,Ponte Hintze Ribeiro,39.74264146731794,-8.801816107768186
S50,Jardim Luís de Camões,39.74529274728037,-8.806199979626903
S51,Lg. José Lúcio (Término),39.746472963926266,-8.803978831434387
S2_01,Lg. José Lúcio (Terminal),39.746472963926266,-8.803978831434387
